period,year,loc,n_weeks,mean_traps,total_trap_weeks,total_positives,mean_positivity,actual_detection_prob,adequate_80pct,adequate_95pct,recommended_80pct,recommended_95pct,deficit_80pct,deficit_95pct
Autumn,2011,Carpi,2,10,20,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2011,Cesena,2,10,20,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2011,Ferrara,2,10,20,1,0.05,0.4012630607616213,FALSE,FALSE,32,59,22,49
Autumn,2011,Forlì,2,10,20,1,0.05,0.4012630607616213,FALSE,FALSE,32,59,22,49
Autumn,2011,Piacenza,2,9.5,19,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2011,Ravenna,2,9.5,19,4,0.2055555555555555,0.8876421145101101,TRUE,FALSE,7,14,0,4.5
Autumn,2011,Reggio Emilia,2,9,18,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2011,Rimini,2,9.5,19,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2012,Bologna,2,20,40,0,0,0,FALSE,FALSE,NA,NA,NA,NA
Autumn,2012,Carpi,5,10,50,15,0.3,0.9717524751000001,TRUE,TRUE,5,9,0,0
Autumn,2012,Cesena,5,10,50,23,0.46,0.9978916748073507,TRUE,TRUE,3,5,0,0
Autumn,2012,Ferrara,5,9.8,49,18,0.36,0.9873943935262925,TRUE,TRUE,4,7,0,0
Autumn,2012,Forlì,6,8.333333333333334,50,20,0.5,0.9968996073203746,TRUE,TRUE,3,5,0,0
Autumn,2012,Piacenza,5,9.8,49,13,0.26,0.9477037132398882,TRUE,FALSE,6,10,0,0.1999999999999993
Autumn,2012,Ravenna,5,9.6,48,26,0.52,0.9991292050960513,TRUE,TRUE,3,5,0,0
Autumn,2012,Reggio Emilia,5,10,50,9,0.18,0.8625519686640393,TRUE,FALSE,9,16,0,6
Autumn,2012,Rimini,5,9.8,49,15,0.31777777777777777,0.9764238196709542,TRUE,TRUE,5,8,0,0
Autumn,2013,Bologna,5,19.6,98,43,0.4463157894736842,0.9999907116639061,TRUE,TRUE,3,6,0,0
Autumn,2013,Carpi,6,9.833333333333334,59,19,0.31666666666666665,0.9763469420594683,TRUE,TRUE,5,8,0,0
Autumn,2013,Cesena,6,10,60,24,0.4,0.9939533824,TRUE,TRUE,4,6,0,0
Autumn,2013,Ferrara,6,9.5,57,27,0.48287037037037034,0.99809807008822,TRUE,TRUE,3,5,0,0
Autumn,2013,Forlì,6,8.333333333333334,50,23,0.5002525252525252,0.9969126319724336,TRUE,TRUE,3,5,0,0
Autumn,2013,Piacenza,5,10,50,16,0.32,0.9788607717984279,TRUE,TRUE,5,8,0,0
Autumn,2013,Ravenna,6,10,60,27,0.45,0.9974670483788086,TRUE,TRUE,3,6,0,0
Autumn,2013,Reggio Emilia,5,8.8,44,12,0.36,0.9803037398848321,TRUE,TRUE,4,7,0,0
Autumn,2013,Rimini,6,9.166666666666666,55,17,0.3148148148148148,0.9687459473872668,TRUE,TRUE,5,8,0,0
Autumn,2014,Carpi,6,9.833333333333334,59,27,0.45185185185185184,0.997292948484723,TRUE,TRUE,3,5,0,0
Autumn,2014,Cesena,6,10,60,25,0.4166666666666667,0.99543786702583,TRUE,TRUE,3,6,0,0
Autumn,2014,Ferrara,6,9.333333333333334,56,22,0.41111111111111115,0.9928608797887045,TRUE,TRUE,4,6,0,0
Autumn,2014,Forlì,6,9.333333333333334,56,29,0.5185185185185185,0.9989100426875517,TRUE,TRUE,3,5,0,0
Autumn,2014,Parma,3,8.666666666666666,26,4,0.15740740740740733,0.7733514982275341,FALSE,FALSE,10,18,1.333333333333334,9.333333333333334
Autumn,2014,Piacenza,6,9.666666666666666,58,23,0.3962962962962963,0.9923915336821069,TRUE,TRUE,4,6,0,0
Autumn,2014,Ravenna,6,9.666666666666666,58,24,0.40925925925925916,0.9938316322493153,TRUE,TRUE,4,6,0,0
Autumn,2014,Reggio Emilia,6,9.333333333333334,56,18,0.3555555555555555,0.9834398403822076,TRUE,TRUE,4,7,0,0
Autumn,2014,Rimini,5,9.8,49,22,0.46,0.9976151622024162,TRUE,TRUE,3,5,0,0
Autumn,2015,Bologna,6,19.833333333333332,119,41,0.3451754385964912,0.9997745007746128,TRUE,TRUE,4,8,0,0
Autumn,2015,Carpi,6,10,60,32,0.5333333333333333,0.9995101447018985,TRUE,TRUE,3,4,0,0
Autumn,2015,Cesena,6,10,60,25,0.4166666666666667,0.99543786702583,TRUE,TRUE,3,6,0,0
Autumn,2015,Ferrara,6,9.666666666666666,58,22,0.3685185185185185,0.9882468940285,TRUE,TRUE,4,7,0,0
Autumn,2015,Forlì,6,9.833333333333334,59,21,0.35000000000000003,0.9855351253775698,TRUE,TRUE,4,7,0,0
Autumn,2015,Parma,6,8.166666666666666,49,22,0.42222222222222217,0.9886660799200682,TRUE,TRUE,3,6,0,0
Autumn,2015,Piacenza,6,10,60,26,0.43333333333333335,0.9965858966274637,TRUE,TRUE,3,6,0,0
Autumn,2015,Ravenna,6,9.833333333333334,59,21,0.35925925925925933,0.9874384566954257,TRUE,TRUE,4,7,0,0
Autumn,2015,Reggio Emilia,5,9.2,46,23,0.5333333333333334,0.9990987144985823,TRUE,TRUE,3,4,0,0
Autumn,2015,Rimini,6,9.166666666666666,55,26,0.4481481481481482,0.9957009454518658,TRUE,TRUE,3,6,0,0
Autumn,2016,Bologna,6,18.5,111,37,0.37638888888888883,0.999839340605966,TRUE,TRUE,4,7,0,0
Autumn,2016,Carpi,6,8.5,51,24,0.525,0.9982139414906208,TRUE,TRUE,3,5,0,0
Autumn,2016,Cesena,6,9.333333333333334,56,23,0.43333333333333335,0.9950143143928281,TRUE,TRUE,3,6,0,0
Autumn,2016,Ferrara,6,9,54,17,0.375,0.9854480847716331,TRUE,TRUE,4,7,0,0
Autumn,2016,Forlì,6,9,54,20,0.42222222222222217,0.9928245770098243,TRUE,TRUE,3,6,0,0
Autumn,2016,Parma,6,9.5,57,20,0.35833333333333334,0.9852279743975554,TRUE,TRUE,4,7,0,0
Autumn,2016,Piacenza,6,9.666666666666666,58,25,0.44629629629629636,0.9967012570465855,TRUE,TRUE,3,6,0,0
Autumn,2016,Ravenna,6,9.166666666666666,55,17,0.3555555555555555,0.9821816724665415,TRUE,TRUE,4,7,0,0
Autumn,2016,Reggio Emilia,6,8.5,51,13,0.3666666666666667,0.9793996336880988,TRUE,TRUE,4,7,0,0
Autumn,2016,Rimini,6,8.666666666666666,52,15,0.3761904761904762,0.9832588993292495,TRUE,TRUE,4,7,0,0
Autumn,2017,Bologna,5,18.8,94,35,0.3822222222222222,0.9998831451064073,TRUE,TRUE,4,7,0,0
