loc,n_obs,n_positive,prevalence,sensitivity,specificity,precision,f1,accuracy,auc
Allschwil (CHE),30,1,0.03333333333333333,1,1,1,1,1,1
Graz (AUT),28,1,0.03571428571428571,1,1,1,1,1,1
Strasbourg (FRA),29,2,0.06896551724137931,0.9629629629629629,1,1,0.9811320754716981,0.9655172413793104,1
Trento (ITA),25,4,0.16,1,1,1,1,1,1
Modena (ITA),29,6,0.20689655172413793,0.9565217391304348,0.8333333333333334,0.9565217391304348,0.9565217391304348,0.9310344827586207,0.9855072463768116
Bari (ITA),29,4,0.13793103448275862,0.96,1,1,0.9795918367346939,0.9655172413793104,0.98
Fondi (ITA),29,6,0.20689655172413793,1,0.8333333333333334,0.9583333333333334,0.9787234042553191,0.9655172413793104,0.9782608695652174
Bordeaux (FRA),30,7,0.23333333333333334,0.9565217391304348,0.7142857142857143,0.9166666666666666,0.9361702127659574,0.9,0.9751552795031055
Montpellier (FRA),30,10,0.3333333333333333,0.9,0.8,0.9,0.9,0.8666666666666667,0.97
Bayonne (FRA),30,9,0.3,0.9523809523809523,0.7777777777777778,0.9090909090909091,0.9302325581395349,0.9,0.9682539682539683
Roma (ITA),29,10,0.3448275862068966,0.8947368421052632,0.5,0.7727272727272727,0.8292682926829269,0.7586206896551724,0.8947368421052632
Palermo (ITA),27,11,0.4074074074074074,0.9375,0.7272727272727273,0.8333333333333334,0.8823529411764706,0.8518518518518519,0.8636363636363636
